EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1479407583,"Headache, burning nose",Industrial,4,15206
1479408307,,Exhaust,2,15213
1479421878,Sore throat,Rotten egg,4,15217
1479422576,,,1,15218
1479427306,Didn't stay out long,Industrial,3,15260
1479435355,,burning sulfur,5,15217
1479435481,,Very bad sulfur-like odor. Sewage-like.,5,15217
1479435500,No ,Sulfur or stink bomb,5,15217
1479436040,,Foul rotten egg smell,4,15217
1479439711,,"Smells like a mix of vomit, fish food, sulfur, and acrid coke plant gasses. Horrific! Awair is over 900ppb for VOC's, Dylos is above 13000!",5,15217
1479441779,,Industrial and also eggy.,4,15217
1479466381,,"Acrid, industrial, sulfur. VOC's exceeded 1400ppb last night, over 40%higher than all other nights this week. Extraordinary stink!!!",5,15217
1479467043,"Head ace, irritated eyes, ",Industrial,5,15217
1479467954,No,"Rotten fish, dead animal",5,15218
1479470828,,,2,15206
1479471123,,Chemical- like paint fumes,4,15206
1479471130,,Chemical- like paint fumes,4,15206
1479472270,Runny nose ,Industrial,3,15219
1479472274,Runny nose ,Industrial,3,15219
1479472278,Runny nose ,Industrial,3,15219
1479472297,Runny nose ,Industrial,3,15219
1479472308,Runny nose ,Industrial,3,15219
1479472429,Runny nose ,Industrial,3,15219
1479472448,Runny nose ,Industrial,3,15219
1479473260,Runny nose,Industrial,3,15219
1479473755,,Industrial ,3,15207
1479473761,,Industrial ,3,15207
1479474736,,,4,15217
1479474795,,,2,15104
1479474820,Eye and throat irritation ,Industrial ,4,15207
1479475231,,Chemical,3,15207
1479475436,,"Industrial -large cloud of smoke/smog over mconway and torley, diesel - 43rd st concrete, buncher building, and snappers warehouse trucks idling",5,15201
1479475634,,Industrial ,3,15218
1479476023,,"not Coke, but burning smell.",4,15206
1479476756,,Industry ,3,15201
1479476867,,burning plastic,3,15213
1479477126,,Industrial acrid stink.,4,15206
1479477621,,Industrial,3,15206
1479478646,,Slight swampy smell. So far much better here than the last number of days.,2,15218
1479480046,,,2,15206
1479481551,,Industrial ,4,15217
1479482280,Sinus irritant.,Very acrid outside. Winds S 9mph.,4,15218
1479483821,,Industrial ,3,15219
1479486472,,Industrial,2,15218
1479486778,,Sulphuric chemical smell again today in Morningside.,4,15206
1479487245,,Industrial,3,15222
1479493175,,,2,15219
1479495008,,"Exhaust, cigarettes, and industrial pollution.",3,15222
1479502525,Headache,Paint smell,4,15201
1479506977,,Sulfur ,4,15217
1479509182,Difficulty breathing ,Industry. M&T foundry,5,15201
1479510532,,burning sulfur,4,15217
1479510869,,"Industrial, foul smell",5,15217
1479512078,Headache,Wood smoke,4,15206
1479512086,Headache,Wood smoke,4,15206
1479512094,Headache,Wood smoke,4,15206
1479512114,Headache,Wood smoke,4,15206
1479514053,,,1,15206
1479514545,Sore nasal passages,Sulphur,3,15217
1479515648,,Paint,4,15232
1479517930,No,Chemicals and egg smell,4,15217
1479518592,Shallow breathing and shortness of breath,"Industrial, rotten egg like",4,15207
1479518638,,Rotten eggs,4,15207
1479520246,,Rotten eggs,5,15217
1479521773,,Woodsmoke and chemicals,3,15218
1479523766,Can't breathe!,,4,15217
1479523935,,"Industrial, rotten-egg smell",4,15217
1479524176,,"Sulfurous, stinky air and Awair sensor VOC's above 1370ppb, Which is exceptionally high.",5,15217
1479524430,,Sulfur like,4,15208
1479526186,No,"Industrial, metallic c",4,15217
1479526673,,,1,15218
1479526962,,Industrial ,5,15207
1479527702,,Industrial,4,15217
1479534272,No,Oily industrial smell,5,15207
1479541178,,Industrial,3,15206
1479557616,,"Industrial, sulfer",3,15217
1479559639,Headache ,Disgusting odor ,3,15217
1479561812,,,3,15208
1479561964,,Industrial,3,15206
1479562985,,Industrial pollution,5,15218
1479563062,headache,exhaust fumes,4,15221
1479564427,,Industrial ,3,15206
1479567686,,,1,15218
1479585808,,Diesel exhaust from 20-30 buses,4,15213
1479596442,,,1,15221
1479596704,,,1,15217
1479599220,,,1,15221
1479646559,,,1,15208
1479647541,,,1,15221
1479652970,,,1,15217
1479653144,,,1,15221
1479689994,,,1,15217
1479727810,,,1,15221
1479734772,,,4,15213
1479735947,,,2,15217
1479736034,,,1,15218
1479745467,,,1,15213
1479750665,,,1,15206
1479772834,,,1,15218
1479775444,,,1,15221
1479776342,,,1,15217
1479817974,,,1,15218
1479869869,,,3,15213
1479869904,Smells faintly like natural gas,,3,15213
1479877608,It woke me up it smells that bad. This is ridiculous!,Industrial ,5,15207
1479882338,,Sulphur,3,15217
1479883998,Lost sleep,"Noxious, cannot describe. Does not smell like sulfur",5,15218
1479891942,,"Acrid, industrial smell, entered house. Most noticeable on 1st floor currently. No wind last few hours. Plumage evident by elevated particle counts. CO2 sharply higher.",3,15218
1479905641,,Sulfuric,4,15104
1479905645,,Sulfuric,4,15104
1479905705,,Sulfuric,4,15104
