EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1480203000,0.2,5.0
1480206600,0.2,7.0
1480210200,0.2,5.0
1480213800,0.2,5.0
1480217400,0.2,7.0
1480221000,0.2,5.0
1480224600,0.2,5.0
1480228200,0.2,5.0
1480231800,0.2,4.0
1480235400,0.2,5.0
1480239000,0.2,6.0
1480242600,0.2,6.0
1480246200,0.2,3.0
1480249800,0.2,6.0
1480253400,0.2,7.0
1480257000,0.2,6.0
1480260600,0.2,4.0
1480264200,0.2,6.0
1480267800,0.2,5.0
1480271400,0.1,4.0
1480275000,0.2,8.0
1480278600,0.2,11.0
1480282200,0.2,8.0
1480285800,0.2,10.0
1480289400,0.3,10.0
1480293000,0.4,13.0
1480296600,0.6,17.0
1480300200,0.5,17.0
1480303800,0.6,15.0
1480307400,0.6,17.0
1480311000,0.7,17.0
1480314600,0.6,17.0
1480318200,0.7,16.0
1480321800,0.7,19.0
1480325400,0.8,20.0
1480329000,0.6,16.0
1480332600,0.9,22.0
1480336200,1.3,29.0
1480339800,1.1,30.0
1480343400,1.0,30.0
1480354200,0.8,28.0
1480357800,0.6,29.0
1480361400,0.5,29.0
1480365000,0.5,24.0
1480368600,0.5,20.0
1480372200,0.9,31.0
1480375800,0.5,26.0
1480379400,0.4,19.0
1480383000,0.3,18.0
1480386600,0.3,18.0
1480390200,0.2,16.0
1480393800,0.2,18.0
1480397400,0.2,12.0
1480401000,0.2,10.0
1480404600,0.2,11.0
1480408200,0.2,10.0
1480411800,0.2,11.0
1480415400,0.2,10.0
1480419000,0.5,17.0
1480422600,0.6,25.0
1480426200,0.6,40.0
1480429800,0.7,44.0
1480433400,0.6,28.0
1480437000,0.2,7.0
1480440600,0.2,10.0
1480444200,0.2,16.0
1480447800,0.2,17.0
1480451400,0.2,16.0
1480455000,0.3,23.0
1480458600,0.4,27.0
1480462200,0.4,21.0
1480465800,1.1,33.0
1480469400,1.0,34.0
1480473000,0.9,33.0
1480476600,0.9,27.0
1480480200,0.8,26.0
1480483800,0.7,24.0
1480487400,0.7,22.0
1480491000,0.7,19.0
1480494600,0.8,23.0
1480498200,0.7,21.0
1480501800,0.7,26.0
1480505400,0.8,25.0
1480509000,0.8,32.0
1480512600,0.9,27.0
1480516200,0.7,22.0
1480519800,0.2,13.0
1480523400,0.3,15.0
1480527000,0.2,7.0
1480530600,0.3,15.0
1480534200,0.3,8.0
1480537800,0.3,10.0
1480541400,0.3,5.0
1480545000,0.3,8.0
1480548600,0.2,5.0
1480552200,0.2,5.0
1480555800,0.2,7.0
1480559400,0.2,7.0
1480563000,0.2,7.0
1480566600,0.2,6.0
1480570200,0.2,9.0
1480573800,0.2,7.0
1480577400,0.2,7.0
1480581000,0.2,6.0
1480584600,0.2,7.0
1480588200,0.2,7.0
1480591800,0.2,9.0
1480595400,0.3,10.0
1480599000,0.2,8.0
1480602600,0.2,
1480606200,0.2,6.0
1480609800,0.2,5.0
1480613400,0.2,7.0
1480617000,0.2,7.0
1480620600,0.2,8.0
1480624200,0.2,9.0
1480627800,0.2,10.0
1480631400,0.3,11.0
1480635000,0.3,8.0
1480638600,0.2,8.0
1480642200,0.2,6.0
1480645800,0.2,5.0
1480649400,0.3,8.0
1480653000,0.2,7.0
1480656600,0.2,15.0
1480660200,0.2,5.0
1480663800,0.2,6.0
1480667400,0.2,5.0
1480671000,0.2,5.0
1480674600,0.2,6.0
1480678200,0.3,9.0
1480681800,0.3,12.0
1480685400,0.3,13.0
1480689000,0.3,9.0
1480692600,0.2,7.0
1480696200,0.3,5.0
1480699800,0.2,5.0
1480703400,0.3,9.0
1480707000,0.2,7.0
1480710600,0.3,8.0
1480714200,0.3,8.0
1480717800,0.3,10.0
1480721400,0.3,8.0
1480725000,0.2,8.0
1480728600,0.2,9.0
1480732200,0.3,11.0
1480735800,0.2,6.0
1480739400,0.2,6.0
1480743000,0.2,5.0
1480746600,0.2,4.0
1480750200,0.2,5.0
1480753800,0.2,4.0
1480757400,0.2,5.0
1480761000,0.2,5.0
1480764600,0.2,6.0
1480768200,0.2,7.0
1480771800,0.2,7.0
1480775400,0.2,9.0
1480779000,0.2,7.0
1480782600,0.2,7.0
1480786200,0.2,7.0
1480789800,0.2,10.0
1480793400,0.2,10.0
1480797000,0.2,10.0
1480800600,0.2,9.0
1480804200,0.2,11.0
1480807800,0.3,13.0
1480811400,0.2,8.0
1480815000,0.2,8.0
1480818600,0.2,6.0
1480822200,0.2,7.0
1480825800,0.2,6.0
1480829400,0.2,5.0
1480833000,0.2,6.0
1480836600,0.2,6.0
1480840200,0.2,6.0
1480843800,0.2,6.0
1480847400,0.2,6.0
1480851000,0.2,5.0
1480854600,0.3,7.0
1480858200,0.3,8.0
1480861800,0.3,8.0
1480865400,0.6,14.0
1480869000,0.6,15.0
1480872600,0.4,11.0
1480876200,0.3,5.0
1480879800,0.2,4.0
1480883400,0.2,5.0
1480887000,0.2,4.0
1480890600,0.3,6.0
1480894200,0.2,4.0
1480897800,0.2,5.0
1480901400,0.3,9.0
1480905000,0.3,8.0
1480908600,0.3,9.0
1480912200,0.2,8.0
1480915800,0.2,8.0
1480919400,0.2,7.0
1480923000,0.2,6.0
1480926600,0.2,4.0
1480930200,0.2,3.0
1480933800,0.2,5.0
1480937400,0.2,6.0
1480941000,0.2,7.0
1480944600,0.2,10.0
1480948200,0.2,11.0
1480951800,0.2,8.0
1480955400,0.2,9.0
1480959000,0.2,8.0
1480962600,0.2,8.0
1480966200,0.2,10.0
1480969800,0.2,10.0
1480973400,0.3,12.0
1480977000,0.3,10.0
1480980600,0.3,10.0
1480984200,0.3,13.0
1480987800,0.4,16.0
1480991400,0.6,19.0
1480995000,0.6,20.0
1480998600,0.6,16.0
1481002200,0.5,13.0
1481005800,0.4,12.0
1481009400,0.3,11.0
1481013000,0.2,4.0
1481016600,0.2,6.0
1481020200,0.3,6.0
1481023800,0.3,10.0
1481027400,0.4,11.0
1481031000,0.3,18.0
1481034600,0.3,13.0
1481038200,0.3,17.0
1481041800,0.4,5.0
1481045400,0.3,4.0
1481049000,0.3,4.0
1481052600,0.3,4.0
1481056200,0.3,4.0
1481059800,0.3,5.0
1481063400,0.4,5.0
1481067000,0.3,5.0
1481070600,0.3,4.0
1481074200,0.2,4.0
1481077800,0.3,5.0
1481081400,0.3,5.0
1481085000,0.3,6.0
1481088600,0.2,6.0
1481092200,0.3,8.0
1481095800,0.3,9.0
1481099400,0.2,10.0
1481103000,0.2,11.0
1481106600,0.3,12.0
1481110200,0.3,14.0
1481113800,0.4,17.0
1481117400,0.4,16.0
1481121000,0.3,14.0
1481124600,0.3,11.0
1481128200,0.3,11.0
1481131800,,13.0
1481135400,,14.0
1481139000,0.2,28.0
1481142600,0.2,15.0
1481146200,0.2,18.0
1481149800,0.3,12.0
1481153400,0.2,9.0
1481157000,0.2,12.0
1481160600,0.2,10.0
1481164200,0.2,15.0
1481167800,0.2,9.0
1481171400,0.2,7.0
1481175000,0.1,7.0
1481178600,0.1,7.0
1481182200,0.2,6.0
1481185800,0.2,7.0
1481189400,0.2,7.0
1481193000,0.2,10.0
1481196600,0.2,24.0
1481200200,0.2,24.0
1481203800,0.2,20.0
1481207400,0.2,17.0
1481211000,0.2,12.0
1481214600,,8.0
1481218200,0.1,8.0
1481221800,0.2,12.0
1481225400,0.2,12.0
1481229000,0.2,13.0
1481232600,0.2,13.0
1481236200,0.3,12.0
1481239800,0.2,15.0
1481243400,0.2,10.0
1481247000,0.2,11.0
1481250600,0.2,8.0
1481254200,0.2,7.0
1481257800,0.2,7.0
1481261400,0.2,10.0
1481265000,0.1,9.0
1481268600,0.1,7.0
1481272200,0.1,6.0
1481275800,0.1,6.0
