EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3
1484685000,3
1484688600,4
1484692200,4
1484695800,5
1484699400,5
1484703000,7
1484706600,7
1484710200,5
1484713800,2
1484717400,2
1484721000,4
1484724600,2
1484728200,3
1484731800,2
1484735400,0
1484739000,0
1484742600,0
1484746200,-1
1484749800,1
1484753400,1
1484757000,0
1484760600,0
1484764200,0
1484767800,-1
1484771400,0
1484775000,1
1484778600,0
1484782200,-1
1484785800,0
1484789400,3
1484793000,3
1484796600,3
1484800200,3
1484803800,5
1484807400,5
1484811000,5
1484814600,3
1484818200,2
1484821800,3
1484825400,2
1484829000,4
1484832600,7
1484836200,4
1484839800,4
1484843400,5
1484847000,5
1484850600,11
1484854200,11
1484857800,9
1484861400,8
1484865000,8
1484868600,11
1484872200,9
1484875800,13
1484879400,11
1484883000,11
1484886600,14
1484890200,17
1484893800,27
1484897400,18
1484901000,13
1484904600,11
1484908200,15
1484911800,13
1484915400,18
1484919000,22
1484922600,14
1484926200,20
1484929800,24
1484933400,12
1484937000,8
1484940600,4
1484944200,5
1484947800,4
1484951400,5
1484955000,11
1484958600,10
1484962200,9
1484965800,8
1484969400,7
1484973000,9
1484976600,8
1484980200,15
1484983800,12
1484987400,11
1484991000,16
1484994600,9
1484998200,12
1485001800,12
1485005400,17
1485009000,21
1485012600,23
1485016200,4
1485019800,4
1485023400,2
1485027000,1
1485030600,3
1485034200,4
1485037800,5
1485041400,9
1485045000,10
1485048600,14
1485052200,16
1485055800,10
