EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1482672600,8.0,7.0
1482676200,8.0,7.0
1482679800,4.0,4.0
1482683400,5.0,4.0
1482687000,8.0,6.0
1482690600,8.0,7.0
1482694200,7.0,6.0
1482697800,10.0,9.0
1482701400,9.0,9.0
1482705000,10.0,8.0
1482708600,9.0,8.0
1482712200,9.0,9.0
1482715800,8.0,8.0
1482719400,11.0,8.0
1482723000,10.0,8.0
1482726600,10.0,8.0
1482730200,9.0,8.0
1482733800,9.0,8.0
1482737400,10.0,8.0
1482741000,9.0,7.0
1482744600,7.0,6.0
1482748200,7.0,5.0
1482751800,3.0,4.0
1482755400,2.0,2.0
1482759000,3.0,3.0
1482762600,4.0,3.0
1482766200,4.0,4.0
1482769800,11.0,9.0
1482773400,16.0,11.0
1482777000,22.0,15.0
1482780600,25.0,16.0
1482784200,16.0,10.0
1482787800,17.0,12.0
1482791400,24.0,14.0
1482795000,27.0,16.0
1482798600,23.0,14.0
1482802200,27.0,16.0
1482805800,24.0,13.0
1482809400,14.0,6.0
1482813000,9.0,5.0
1482816600,9.0,7.0
1482820200,10.0,8.0
1482823800,2.0,4.0
1482827400,0.0,0.0
1482831000,0.0,3.0
1482834600,4.0,4.0
1482838200,7.0,4.0
1482841800,3.0,3.0
1482845400,1.0,3.0
1482849000,4.0,4.0
1482852600,4.0,2.0
1482856200,0.0,0.0
1482859800,0.0,0.0
1482863400,1.0,0.0
1482867000,4.0,1.0
1482870600,4.0,2.0
1482874200,7.0,3.0
1482877800,5.0,3.0
1482881400,5.0,3.0
1482885000,6.0,4.0
1482888600,7.0,5.0
1482892200,6.0,5.0
1482895800,5.0,4.0
1482899400,5.0,3.0
1482903000,4.0,2.0
1482906600,6.0,5.0
1482910200,5.0,4.0
1482913800,5.0,4.0
1482917400,6.0,5.0
1482921000,5.0,4.0
1482924600,3.0,4.0
1482928200,4.0,3.0
1482931800,5.0,3.0
1482935400,4.0,3.0
1482939000,3.0,2.0
1482942600,4.0,3.0
1482946200,5.0,3.0
1482949800,5.0,3.0
1482953400,7.0,4.0
1482957000,8.0,4.0
1482960600,7.0,4.0
1482964200,7.0,4.0
1482967800,7.0,4.0
1482971400,6.0,5.0
1482975000,9.0,5.0
1482978600,7.0,5.0
1482982200,8.0,5.0
1482985800,4.0,3.0
1482989400,11.0,8.0
1482993000,25.0,15.0
1482996600,13.0,8.0
1483000200,4.0,3.0
1483003800,23.0,19.0
1483007400,24.0,18.0
1483011000,11.0,9.0
1483014600,5.0,2.0
1483018200,5.0,4.0
1483021800,4.0,3.0
1483025400,3.0,2.0
1483029000,3.0,2.0
1483032600,4.0,4.0
1483036200,6.0,4.0
1483039800,3.0,2.0
1483043400,3.0,3.0
1483047000,3.0,3.0
1483050600,5.0,4.0
1483054200,7.0,4.0
1483057800,4.0,2.0
1483061400,6.0,4.0
1483065000,-1.0,0.0
1483068600,4.0,2.0
1483072200,5.0,3.0
1483075800,5.0,4.0
1483079400,5.0,5.0
1483083000,5.0,4.0
1483086600,4.0,4.0
1483090200,3.0,3.0
1483093800,1.0,3.0
1483097400,2.0,2.0
1483101000,3.0,3.0
1483104600,2.0,3.0
1483108200,4.0,4.0
1483111800,3.0,2.0
1483115400,2.0,2.0
1483119000,5.0,3.0
1483122600,3.0,3.0
1483126200,5.0,4.0
1483129800,4.0,4.0
1483133400,5.0,4.0
1483137000,7.0,6.0
1483140600,5.0,4.0
1483144200,4.0,4.0
1483147800,4.0,3.0
1483151400,5.0,4.0
1483155000,5.0,4.0
1483158600,8.0,7.0
1483162200,22.0,13.0
1483165800,24.0,15.0
1483169400,19.0,13.0
1483173000,16.0,11.0
1483176600,21.0,13.0
1483180200,22.0,14.0
1483183800,18.0,11.0
1483187400,21.0,13.0
1483191000,18.0,10.0
1483194600,15.0,7.0
1483198200,18.0,8.0
1483201800,12.0,4.0
1483205400,10.0,4.0
1483209000,7.0,4.0
1483212600,7.0,4.0
1483216200,26.0,14.0
1483219800,13.0,11.0
1483223400,13.0,8.0
1483227000,14.0,9.0
1483230600,11.0,8.0
1483234200,6.0,4.0
1483237800,5.0,5.0
1483241400,6.0,6.0
1483245000,7.0,5.0
1483248600,5.0,5.0
1483252200,6.0,6.0
1483255800,8.0,7.0
1483259400,9.0,8.0
1483263000,6.0,6.0
1483266600,8.0,7.0
1483270200,9.0,7.0
1483273800,9.0,7.0
1483277400,9.0,7.0
1483281000,7.0,6.0
1483284600,7.0,5.0
1483288200,9.0,6.0
1483291800,8.0,5.0
1483295400,7.0,6.0
1483299000,9.0,7.0
1483302600,9.0,7.0
1483306200,9.0,7.0
1483309800,9.0,9.0
1483313400,9.0,7.0
1483317000,13.0,11.0
1483320600,10.0,8.0
1483324200,8.0,7.0
1483327800,10.0,8.0
1483331400,9.0,7.0
1483335000,8.0,7.0
1483338600,9.0,8.0
1483342200,12.0,10.0
1483345800,11.0,8.0
1483349400,6.0,6.0
1483353000,6.0,6.0
1483356600,5.0,4.0
1483360200,3.0,4.0
1483363800,4.0,4.0
1483367400,5.0,4.0
1483371000,3.0,4.0
1483374600,3.0,2.0
1483378200,3.0,2.0
1483381800,4.0,3.0
1483385400,4.0,3.0
1483389000,3.0,2.0
1483392600,3.0,3.0
1483396200,4.0,4.0
1483399800,2.0,2.0
1483403400,2.0,2.0
1483407000,2.0,2.0
1483410600,0.0,2.0
1483414200,2.0,2.0
1483417800,0.0,2.0
1483421400,0.0,0.0
1483425000,0.0,0.0
1483428600,0.0,1.0
1483432200,1.0,0.0
1483435800,0.0,0.0
1483439400,0.0,0.0
1483443000,0.0,1.0
1483446600,1.0,1.0
1483450200,0.0,0.0
1483453800,1.0,1.0
1483457400,1.0,1.0
1483461000,0.0,0.0
1483464600,-1.0,0.0
1483468200,0.0,0.0
1483471800,2.0,2.0
1483475400,3.0,3.0
1483479000,2.0,2.0
1483482600,3.0,4.0
1483486200,10.0,8.0
1483489800,25.0,17.0
1483493400,4.0,4.0
1483497000,4.0,4.0
1483500600,3.0,4.0
1483504200,1.0,3.0
1483507800,0.0,1.0
1483511400,3.0,3.0
1483515000,3.0,4.0
1483518600,3.0,3.0
1483522200,2.0,2.0
1483525800,3.0,3.0
1483529400,0.0,2.0
1483533000,4.0,5.0
1483536600,3.0,4.0
1483540200,0.0,2.0
1483543800,2.0,3.0
1483547400,2.0,4.0
1483551000,2.0,4.0
1483554600,3.0,4.0
1483558200,2.0,2.0
1483561800,4.0,4.0
1483565400,4.0,3.0
1483569000,4.0,3.0
1483572600,5.0,3.0
1483576200,4.0,3.0
1483579800,4.0,3.0
1483583400,4.0,2.0
1483587000,4.0,3.0
1483590600,3.0,1.0
1483594200,5.0,4.0
1483597800,4.0,4.0
1483601400,5.0,4.0
1483605000,3.0,4.0
1483608600,4.0,3.0
1483612200,5.0,4.0
1483615800,5.0,4.0
1483619400,7.0,3.0
1483623000,6.0,4.0
1483626600,5.0,2.0
1483630200,5.0,2.0
1483633800,3.0,2.0
1483637400,6.0,2.0
1483641000,2.0,0.0
1483644600,6.0,3.0
1483648200,5.0,3.0
1483651800,5.0,4.0
1483655400,6.0,5.0
1483659000,6.0,6.0
1483662600,6.0,4.0
1483666200,4.0,5.0
1483669800,5.0,4.0
1483673400,4.0,6.0
1483677000,3.0,4.0
1483680600,4.0,4.0
1483684200,3.0,4.0
1483687800,4.0,6.0
1483691400,5.0,5.0
1483695000,7.0,6.0
1483698600,8.0,7.0
1483702200,9.0,8.0
1483705800,9.0,7.0
1483709400,9.0,9.0
1483713000,7.0,5.0
1483716600,8.0,6.0
1483720200,6.0,5.0
1483723800,5.0,4.0
1483727400,8.0,7.0
1483731000,9.0,7.0
1483734600,10.0,8.0
1483738200,12.0,8.0
1483741800,13.0,8.0
1483745400,17.0,10.0
1483749000,15.0,8.0
1483752600,14.0,8.0
1483756200,16.0,9.0
1483759800,19.0,12.0
1483763400,17.0,10.0
1483767000,16.0,10.0
1483770600,15.0,10.0
1483774200,12.0,9.0
1483777800,10.0,8.0
1483781400,10.0,6.0
1483785000,11.0,7.0
1483788600,10.0,7.0
1483792200,10.0,7.0
1483795800,12.0,7.0
1483799400,13.0,8.0
1483803000,11.0,6.0
1483806600,11.0,5.0
1483810200,13.0,6.0
1483813800,11.0,6.0
1483817400,11.0,6.0
1483821000,10.0,7.0
1483824600,10.0,6.0
1483828200,10.0,8.0
1483831800,12.0,8.0
1483835400,12.0,8.0
1483839000,13.0,9.0
1483842600,13.0,9.0
1483846200,7.0,6.0
1483849800,9.0,6.0
1483853400,8.0,6.0
1483857000,8.0,6.0
1483860600,9.0,7.0
1483864200,9.0,6.0
1483867800,8.0,6.0
1483871400,9.0,6.0
1483875000,8.0,6.0
1483878600,7.0,5.0
1483882200,7.0,5.0
1483885800,4.0,3.0
1483889400,4.0,2.0
1483893000,5.0,1.0
1483896600,6.0,2.0
1483900200,5.0,2.0
1483903800,7.0,2.0
1483907400,7.0,4.0
1483911000,8.0,4.0
1483914600,11.0,5.0
1483918200,12.0,6.0
1483921800,14.0,6.0
1483925400,13.0,6.0
1483929000,17.0,8.0
1483932600,29.0,16.0
1483936200,29.0,15.0
1483939800,27.0,15.0
1483943400,36.0,21.0
1483947000,19.0,13.0
1483950600,18.0,12.0
1483954200,17.0,10.0
1483957800,8.0,4.0
1483961400,12.0,7.0
1483965000,16.0,6.0
1483968600,11.0,4.0
1483972200,9.0,4.0
1483975800,14.0,6.0
1483979400,15.0,5.0
1483983000,23.0,7.0
1483986600,17.0,4.0
1483990200,19.0,5.0
1483993800,14.0,5.0
1483997400,16.0,6.0
1484001000,24.0,11.0
1484004600,19.0,8.0
1484008200,15.0,6.0
1484011800,11.0,5.0
1484015400,12.0,6.0
1484019000,8.0,4.0
1484022600,8.0,3.0
1484026200,10.0,6.0
1484029800,47.0,28.0
1484033400,40.0,21.0
1484037000,23.0,10.0
1484040600,19.0,9.0
1484044200,20.0,13.0
1484047800,6.0,3.0
1484051400,3.0,1.0
1484055000,1.0,2.0
1484058600,0.0,0.0
1484062200,1.0,0.0
1484065800,5.0,1.0
1484069400,7.0,4.0
1484073000,7.0,4.0
1484076600,9.0,5.0
1484080200,10.0,6.0
1484083800,3.0,2.0
1484087400,8.0,5.0
1484091000,13.0,8.0
1484094600,11.0,7.0
1484098200,20.0,10.0
1484101800,15.0,9.0
1484105400,23.0,13.0
1484109000,17.0,10.0
1484112600,8.0,8.0
1484116200,6.0,5.0
1484119800,5.0,6.0
1484123400,4.0,4.0
1484127000,1.0,3.0
1484130600,4.0,4.0
1484134200,4.0,4.0
1484137800,23.0,15.0
1484141400,25.0,16.0
1484145000,19.0,12.0
1484148600,5.0,4.0
1484152200,13.0,8.0
1484155800,9.0,5.0
1484159400,4.0,2.0
1484163000,2.0,1.0
1484166600,5.0,2.0
1484170200,7.0,4.0
1484173800,27.0,17.0
1484177400,8.0,5.0
1484181000,4.0,3.0
1484184600,11.0,9.0
1484188200,24.0,17.0
1484191800,15.0,12.0
1484195400,18.0,11.0
1484199000,21.0,13.0
1484202600,22.0,13.0
1484206200,16.0,9.0
1484209800,24.0,13.0
1484213400,14.0,8.0
1484217000,20.0,11.0
1484220600,20.0,12.0
1484224200,21.0,13.0
1484227800,14.0,8.0
1484231400,9.0,6.0
1484235000,8.0,6.0
1484238600,8.0,4.0
1484242200,11.0,6.0
1484245800,8.0,6.0
1484249400,7.0,5.0
1484253000,11.0,9.0
1484256600,16.0,13.0
1484260200,0.0,3.0
1484263800,3.0,4.0
1484267400,3.0,4.0
1484271000,1.0,3.0
1484274600,7.0,6.0
1484278200,4.0,7.0
1484281800,4.0,6.0
1484285400,4.0,7.0
1484289000,5.0,6.0
1484292600,6.0,6.0
1484296200,6.0,6.0
1484299800,5.0,6.0
1484303400,3.0,5.0
1484307000,5.0,5.0
1484310600,7.0,6.0
1484314200,7.0,7.0
1484317800,6.0,5.0
1484321400,5.0,4.0
1484325000,5.0,2.0
1484328600,4.0,3.0
1484332200,6.0,3.0
1484335800,4.0,3.0
1484339400,,5.0
1484343000,7.0,5.0
1484346600,4.0,4.0
1484350200,4.0,4.0
1484353800,7.0,5.0
1484357400,11.0,7.0
1484361000,10.0,5.0
1484364600,8.0,4.0
1484368200,5.0,3.0
1484371800,5.0,2.0
1484375400,6.0,3.0
1484379000,6.0,3.0
1484382600,2.0,2.0
1484386200,5.0,1.0
1484389800,6.0,4.0
1484393400,6.0,2.0
1484397000,6.0,3.0
1484400600,9.0,5.0
1484404200,10.0,4.0
1484407800,9.0,4.0
1484411400,7.0,3.0
1484415000,7.0,2.0
1484418600,11.0,5.0
1484422200,19.0,10.0
1484425800,17.0,10.0
1484429400,17.0,9.0
1484433000,16.0,9.0
1484436600,16.0,10.0
1484440200,14.0,8.0
1484443800,14.0,10.0
1484447400,16.0,10.0
1484451000,14.0,9.0
1484454600,12.0,8.0
1484458200,12.0,9.0
1484461800,15.0,10.0
1484465400,15.0,10.0
1484469000,14.0,10.0
1484472600,13.0,10.0
1484476200,16.0,12.0
1484479800,15.0,10.0
1484483400,12.0,9.0
1484487000,9.0,7.0
1484490600,12.0,6.0
1484494200,13.0,6.0
1484497800,14.0,8.0
1484501400,21.0,14.0
1484505000,24.0,14.0
1484508600,28.0,19.0
1484512200,30.0,21.0
1484515800,27.0,17.0
1484519400,23.0,14.0
1484523000,19.0,13.0
1484526600,20.0,15.0
1484530200,23.0,15.0
1484533800,30.0,20.0
1484537400,43.0,26.0
1484541000,25.0,18.0
1484544600,30.0,21.0
1484548200,27.0,19.0
1484551800,25.0,20.0
1484555400,26.0,20.0
1484559000,28.0,21.0
1484562600,27.0,19.0
1484566200,20.0,14.0
1484569800,20.0,13.0
1484573400,18.0,11.0
1484577000,20.0,12.0
1484580600,20.0,13.0
1484584200,21.0,11.0
1484587800,20.0,10.0
1484591400,22.0,13.0
1484595000,26.0,13.0
1484598600,31.0,15.0
1484602200,25.0,13.0
