EpochTime,3.feed_3506.PM2_5,3.feed_3506.OZONE
1487385000,18.0,0.0
1487388600,20.0,0.0
1487392200,21.0,0.0
1487395800,18.0,0.0
1487399400,19.0,0.0
1487403000,19.0,0.0
1487406600,22.0,0.0
1487410200,21.0,0.0
1487413800,21.0,0.0
1487417400,19.0,0.0
1487421000,15.0,2.0
1487424600,17.0,10.0
1487428200,9.0,33.0
1487431800,8.0,44.0
1487435400,10.0,48.0
1487439000,9.0,53.0
1487442600,7.0,56.0
1487446200,8.0,58.0
1487449800,8.0,59.0
1487453400,13.0,59.0
1487457000,8.0,58.0
1487460600,15.0,54.0
1487464200,17.0,52.0
1487467800,20.0,48.0
1487471400,23.0,41.0
1487475000,20.0,41.0
1487478600,14.0,41.0
1487482200,13.0,43.0
1487485800,8.0,40.0
1487489400,10.0,39.0
1487493000,10.0,36.0
1487496600,8.0,36.0
1487500200,12.0,34.0
1487503800,15.0,30.0
1487507400,17.0,25.0
1487511000,22.0,25.0
1487514600,26.0,29.0
1487518200,24.0,34.0
1487521800,24.0,37.0
1487525400,19.0,41.0
1487529000,12.0,44.0
1487532600,15.0,47.0
1487536200,9.0,48.0
1487539800,8.0,48.0
1487543400,9.0,47.0
1487547000,10.0,45.0
1487550600,11.0,28.0
1487554200,15.0,9.0
1487557800,16.0,8.0
1487561400,15.0,11.0
1487565000,17.0,21.0
1487568600,18.0,21.0
1487572200,17.0,4.0
1487575800,19.0,0.0
1487579400,18.0,0.0
1487583000,16.0,0.0
1487586600,15.0,0.0
1487590200,22.0,0.0
1487593800,18.0,0.0
1487597400,20.0,0.0
1487601000,35.0,1.0
1487604600,37.0,5.0
1487608200,37.0,12.0
1487611800,20.0,23.0
1487615400,8.0,31.0
1487619000,9.0,36.0
1487622600,8.0,35.0
1487626200,8.0,36.0
1487629800,13.0,32.0
1487633400,8.0,12.0
1487637000,17.0,1.0
1487640600,12.0,1.0
1487644200,12.0,0.0
1487647800,15.0,0.0
1487651400,10.0,0.0
1487655000,11.0,0.0
1487658600,15.0,0.0
1487662200,13.0,0.0
1487665800,15.0,0.0
1487669400,15.0,0.0
1487673000,13.0,0.0
1487676600,15.0,0.0
1487680200,16.0,0.0
1487683800,14.0,1.0
1487687400,12.0,14.0
1487691000,13.0,24.0
1487694600,11.0,27.0
1487698200,7.0,37.0
1487701800,10.0,42.0
1487705400,9.0,42.0
1487709000,13.0,43.0
1487712600,12.0,43.0
1487716200,12.0,32.0
1487719800,19.0,10.0
1487723400,16.0,4.0
1487727000,17.0,14.0
1487730600,19.0,1.0
1487734200,23.0,1.0
1487737800,13.0,9.0
1487741400,14.0,0.0
1487745000,18.0,0.0
1487748600,19.0,0.0
1487752200,19.0,0.0
1487755800,18.0,0.0
1487759400,17.0,0.0
1487763000,15.0,0.0
1487766600,25.0,0.0
1487770200,30.0,4.0
1487773800,32.0,4.0
1487777400,15.0,26.0
1487781000,16.0,
1487784600,17.0,34.0
1487788200,19.0,44.0
1487791800,16.0,50.0
1487795400,18.0,54.0
1487799000,12.0,55.0
1487802600,10.0,51.0
1487806200,19.0,45.0
1487809800,15.0,40.0
1487813400,23.0,40.0
1487817000,17.0,39.0
1487820600,15.0,37.0
1487824200,10.0,36.0
1487827800,14.0,35.0
1487831400,11.0,38.0
1487835000,7.0,39.0
1487838600,7.0,35.0
1487842200,16.0,32.0
1487845800,9.0,31.0
1487849400,8.0,30.0
1487853000,10.0,23.0
1487856600,11.0,22.0
1487860200,11.0,25.0
1487863800,9.0,29.0
1487867400,15.0,31.0
1487871000,13.0,34.0
1487874600,,37.0
1487878200,,38.0
1487881800,9.0,39.0
1487885400,12.0,41.0
1487889000,11.0,38.0
1487892600,9.0,32.0
1487896200,12.0,29.0
1487899800,12.0,11.0
1487903400,13.0,1.0
1487907000,8.0,2.0
1487910600,14.0,4.0
1487914200,14.0,2.0
1487917800,15.0,0.0
1487921400,10.0,0.0
1487925000,11.0,0.0
1487928600,12.0,0.0
1487932200,12.0,0.0
1487935800,12.0,0.0
1487939400,12.0,3.0
1487943000,14.0,7.0
1487946600,11.0,
1487950200,8.0,40.0
1487953800,14.0,44.0
1487957400,10.0,45.0
1487961000,6.0,46.0
1487964600,2.0,48.0
1487968200,6.0,48.0
1487971800,5.0,47.0
1487975400,3.0,46.0
1487979000,6.0,40.0
1487982600,18.0,21.0
1487986200,13.0,4.0
1487989800,22.0,2.0
1487993400,12.0,19.0
1487997000,10.0,36.0
1488000600,9.0,36.0
1488004200,7.0,35.0
1488007800,6.0,39.0
1488011400,9.0,41.0
1488033000,5.0,34.0
1488036600,5.0,27.0
1488040200,4.0,25.0
1488043800,4.0,26.0
1488047400,4.0,32.0
1488051000,10.0,31.0
1488054600,7.0,32.0
1488058200,4.0,34.0
1488061800,2.0,28.0
1488065400,2.0,28.0
1488069000,2.0,33.0
1488072600,3.0,32.0
