EpochTime,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3
1483043400,3
1483047000,3
1483050600,4
1483054200,4
1483057800,2
1483061400,4
1483065000,0
1483068600,2
1483072200,3
1483075800,4
1483079400,5
1483083000,4
1483086600,4
1483090200,3
1483093800,3
1483097400,2
1483101000,3
1483104600,3
1483108200,4
1483111800,2
1483115400,2
1483119000,3
1483122600,3
1483126200,4
1483129800,4
1483133400,4
1483137000,6
1483140600,4
1483144200,4
1483147800,3
1483151400,4
1483155000,4
1483158600,7
1483162200,13
1483165800,15
1483169400,13
1483173000,11
1483176600,13
1483180200,14
1483183800,11
1483187400,13
1483191000,10
1483194600,7
1483198200,8
1483201800,4
1483205400,4
1483209000,4
1483212600,4
1483216200,14
1483219800,11
1483223400,8
1483227000,9
1483230600,8
1483234200,4
1483237800,5
1483241400,6
1483245000,5
1483248600,5
1483252200,6
1483255800,7
1483259400,8
1483263000,6
1483266600,7
1483270200,7
1483273800,7
1483277400,7
1483281000,6
1483284600,5
1483288200,6
1483291800,5
1483295400,6
1483299000,7
1483302600,7
1483306200,7
1483309800,9
1483313400,7
1483317000,11
1483320600,8
1483324200,7
1483327800,8
1483331400,7
1483335000,7
1483338600,8
1483342200,10
1483345800,8
1483349400,6
1483353000,6
1483356600,4
1483360200,4
1483363800,4
1483367400,4
1483371000,4
1483374600,2
1483378200,2
1483381800,3
1483385400,3
1483389000,2
1483392600,3
1483396200,4
1483399800,2
1483403400,2
1483407000,2
1483410600,2
1483414200,2
1483417800,2
1483421400,0
1483425000,0
1483428600,1
1483432200,0
1483435800,0
1483439400,0
1483443000,1
1483446600,1
1483450200,0
1483453800,1
1483457400,1
1483461000,0
1483464600,0
1483468200,0
1483471800,2
1483475400,3
1483479000,2
1483482600,4
1483486200,8
1483489800,17
1483493400,4
1483497000,4
1483500600,4
1483504200,3
1483507800,1
1483511400,3
1483515000,4
1483518600,3
1483522200,2
1483525800,3
1483529400,2
1483533000,5
1483536600,4
1483540200,2
1483543800,3
1483547400,4
1483551000,4
1483554600,4
1483558200,2
1483561800,4
1483565400,3
1483569000,3
1483572600,3
1483576200,3
1483579800,3
1483583400,2
1483587000,3
1483590600,1
1483594200,4
1483597800,4
1483601400,4
1483605000,4
1483608600,3
1483612200,4
1483615800,4
1483619400,3
1483623000,4
1483626600,2
1483630200,2
1483633800,2
1483637400,2
1483641000,0
1483644600,3
1483648200,3
1483651800,4
1483655400,5
1483659000,6
1483662600,4
1483666200,5
1483669800,4
1483673400,6
1483677000,4
1483680600,4
1483684200,4
1483687800,6
1483691400,5
1483695000,6
1483698600,7
1483702200,8
1483705800,7
1483709400,9
1483713000,5
1483716600,6
1483720200,5
1483723800,4
1483727400,7
1483731000,7
1483734600,8
1483738200,8
1483741800,8
1483745400,10
1483749000,8
1483752600,8
1483756200,9
1483759800,12
1483763400,10
1483767000,10
1483770600,10
1483774200,9
1483777800,8
1483781400,6
1483785000,7
1483788600,7
1483792200,7
1483795800,7
1483799400,8
1483803000,6
1483806600,5
1483810200,6
1483813800,6
1483817400,6
1483821000,7
1483824600,6
1483828200,8
1483831800,8
1483835400,8
1483839000,9
1483842600,9
1483846200,6
1483849800,6
1483853400,6
1483857000,6
1483860600,7
1483864200,6
1483867800,6
1483871400,6
1483875000,6
1483878600,5
1483882200,5
1483885800,3
1483889400,2
1483893000,1
1483896600,2
1483900200,2
1483903800,2
1483907400,4
1483911000,4
1483914600,5
1483918200,6
1483921800,6
1483925400,6
1483929000,8
1483932600,16
1483936200,15
1483939800,15
1483943400,21
1483947000,13
1483950600,12
1483954200,10
1483957800,4
1483961400,7
1483965000,6
1483968600,4
1483972200,4
1483975800,6
1483979400,5
1483983000,7
1483986600,4
1483990200,5
1483993800,5
1483997400,6
1484001000,11
1484004600,8
1484008200,6
1484011800,5
1484015400,6
1484019000,4
1484022600,3
1484026200,6
1484029800,28
1484033400,21
1484037000,10
1484040600,9
1484044200,13
1484047800,3
1484051400,1
1484055000,2
1484058600,0
1484062200,0
1484065800,1
1484069400,4
1484073000,4
1484076600,5
1484080200,6
1484083800,2
1484087400,5
1484091000,8
1484094600,7
1484098200,10
1484101800,9
1484105400,13
1484109000,10
1484112600,8
1484116200,5
1484119800,6
1484123400,4
1484127000,3
1484130600,4
1484134200,4
1484137800,15
1484141400,16
1484145000,12
1484148600,4
1484152200,8
1484155800,5
1484159400,2
1484163000,1
1484166600,2
1484170200,4
1484173800,17
1484177400,5
1484181000,3
1484184600,9
1484188200,17
1484191800,12
1484195400,11
1484199000,13
1484202600,13
1484206200,9
1484209800,13
1484213400,8
1484217000,11
1484220600,12
1484224200,13
1484227800,8
1484231400,6
1484235000,6
1484238600,4
1484242200,6
1484245800,6
1484249400,5
1484253000,9
1484256600,13
1484260200,3
1484263800,4
1484267400,4
1484271000,3
1484274600,6
1484278200,7
1484281800,6
1484285400,7
1484289000,6
1484292600,6
1484296200,6
1484299800,6
1484303400,5
1484307000,5
1484310600,6
1484314200,7
1484317800,5
1484321400,4
1484325000,2
1484328600,3
1484332200,3
1484335800,3
1484339400,5
1484343000,5
1484346600,4
1484350200,4
1484353800,5
1484357400,7
1484361000,5
1484364600,4
1484368200,3
1484371800,2
1484375400,3
1484379000,3
1484382600,2
1484386200,1
1484389800,4
1484393400,2
1484397000,3
1484400600,5
1484404200,4
1484407800,4
1484411400,3
1484415000,2
1484418600,5
1484422200,10
1484425800,10
1484429400,9
1484433000,9
1484436600,10
1484440200,8
1484443800,10
1484447400,10
1484451000,9
1484454600,8
1484458200,9
1484461800,10
1484465400,10
1484469000,10
1484472600,10
1484476200,12
1484479800,10
1484483400,9
1484487000,7
1484490600,6
1484494200,6
1484497800,8
1484501400,14
1484505000,14
1484508600,19
1484512200,21
1484515800,17
1484519400,14
1484523000,13
1484526600,15
1484530200,15
1484533800,20
1484537400,26
1484541000,18
1484544600,21
1484548200,19
1484551800,20
1484555400,20
1484559000,21
1484562600,19
1484566200,14
1484569800,13
1484573400,11
1484577000,12
1484580600,13
1484584200,11
1484587800,10
1484591400,13
1484595000,13
1484598600,15
1484602200,13
1484605800,14
1484609400,14
1484613000,12
1484616600,12
1484620200,10
1484623800,12
1484627400,15
1484631000,14
1484634600,13
1484638200,17
1484641800,12
1484645400,11
1484649000,10
1484652600,34
1484656200,29
1484659800,15
1484663400,15
1484667000,10
1484670600,7
1484674200,7
1484677800,6
1484681400,8
1484685000,4
1484688600,6
