EpochTime,3.feed_29.PM10_UG_M3
1484785800,5
1484789400,5
1484793000,7
1484796600,6
1484800200,3
1484803800,2
1484807400,5
1484811000,4
1484814600,2
1484818200,3
1484821800,4
1484825400,4
1484829000,5
1484832600,6
1484843400,5
1484847000,4
1484850600,8
1484854200,13
1484857800,14
1484861400,10
1484865000,10
1484868600,11
1484872200,12
1484875800,15
1484879400,15
1484883000,13
1484886600,18
1484890200,17
1484893800,16
1484897400,13
1484901000,10
1484904600,10
1484908200,11
1484911800,10
1484915400,9
1484919000,10
1484922600,9
1484926200,8
1484929800,24
1484933400,27
1484937000,11
1484940600,7
1484944200,7
1484947800,8
1484951400,19
1484955000,17
1484958600,28
1484962200,50
1484965800,42
1484969400,54
1484973000,76
1484976600,96
1484980200,93
1484983800,66
1484987400,121
1484991000,70
1484994600,97
1484998200,107
1485001800,35
1485005400,21
1485009000,33
1485012600,52
1485016200,41
1485019800,16
1485023400,17
1485027000,18
1485030600,15
1485034200,14
1485037800,16
1485041400,19
1485045000,34
1485048600,54
1485052200,51
1485055800,35
1485059400,31
1485063000,23
1485066600,24
1485070200,25
1485073800,42
1485077400,40
1485081000,43
1485084600,24
1485088200,19
1485091800,15
1485095400,20
1485099000,16
1485102600,11
1485106200,8
1485109800,9
1485113400,8
1485117000,11
1485120600,12
1485124200,16
1485127800,14
1485131400,8
1485135000,7
1485138600,8
1485142200,5
1485145800,3
1485149400,1
1485153000,0
1485156600,0
1485160200,0
1485163800,1
1485167400,1
1485171000,2
1485174600,3
1485178200,4
1485181800,1
1485185400,1
1485189000,1
1485192600,0
1485196200,2
1485199800,3
1485203400,3
1485207000,1
1485210600,2
1485214200,1
1485217800,1
1485221400,2
1485225000,5
1485228600,8
1485232200,5
1485235800,5
1485239400,5
1485243000,5
1485246600,2
1485250200,3
1485253800,4
1485257400,4
1485261000,2
1485264600,3
1485268200,5
1485271800,5
1485275400,2
1485279000,6
1485282600,5
1485286200,5
1485289800,7
1485293400,9
1485297000,10
1485300600,7
1485304200,8
1485307800,7
1485311400,4
1485315000,5
1485318600,5
1485322200,2
1485325800,3
1485329400,6
1485333000,5
