EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1481599800,18.0
1481603400,14.0
1481607000,16.0
1481610600,16.0
1481614200,18.0
1481617800,19.0
1481621400,17.0
1481625000,19.0
1481628600,19.0
1481632200,26.0
1481635800,25.0
1481639400,23.0
1481643000,27.0
1481646600,30.0
1481650200,25.0
1481653800,27.0
1481657400,22.0
1481661000,26.0
1481664600,21.0
1481668200,21.0
1481671800,16.0
1481675400,17.0
1481679000,18.0
1481682600,16.0
1481686200,12.0
1481689800,13.0
1481693400,16.0
1481697000,17.0
1481700600,18.0
1481704200,19.0
1481707800,23.0
1481711400,20.0
1481715000,20.0
1481718600,18.0
1481722200,17.0
1481725800,15.0
1481729400,15.0
1481733000,17.0
1481736600,15.0
1481740200,21.0
1481743800,21.0
1481747400,23.0
1481751000,21.0
1481754600,20.0
1481758200,21.0
1481761800,16.0
1481765400,12.0
1481769000,14.0
1481772600,8.0
1481776200,17.0
1481779800,25.0
1481783400,19.0
1481787000,16.0
1481790600,16.0
1481794200,15.0
1481797800,10.0
1481801400,16.0
1481805000,18.0
1481808600,14.0
1481812200,20.0
1481815800,22.0
1481819400,17.0
1481823000,17.0
1481826600,9.0
1481830200,10.0
1481833800,17.0
1481837400,15.0
1481841000,15.0
1481844600,14.0
1481848200,11.0
1481851800,9.0
1481855400,16.0
1481859000,17.0
1481862600,17.0
1481866200,16.0
1481869800,13.0
1481873400,15.0
1481877000,14.0
1481880600,15.0
1481884200,21.0
1481887800,23.0
1481891400,23.0
1481895000,28.0
1481898600,36.0
1481902200,33.0
1481905800,28.0
1481909400,21.0
1481913000,22.0
1481916600,30.0
1481920200,31.0
1481923800,29.0
1481927400,23.0
1481931000,25.0
1481934600,18.0
1481938200,18.0
1481941800,11.0
1481945400,18.0
1481949000,19.0
1481952600,14.0
1481956200,13.0
1481959800,12.0
1481963400,11.0
1481967000,12.0
1481970600,8.0
1481974200,10.0
1481977800,6.0
1481981400,2.0
1481985000,6.0
1481988600,8.0
1481992200,8.0
1481995800,16.0
1481999400,16.0
1482003000,13.0
1482006600,18.0
1482010200,21.0
1482013800,22.0
1482017400,30.0
1482021000,25.0
1482024600,18.0
1482028200,6.0
1482031800,8.0
1482035400,7.0
1482039000,3.0
1482042600,0.0
1482049800,-2.0
1482053400,0.0
1482057000,0.0
1482060600,-1.0
1482071400,2.0
1482075000,7.0
1482078600,5.0
1482082200,7.0
1482085800,7.0
1482089400,7.0
1482093000,8.0
1482096600,7.0
1482100200,4.0
1482103800,6.0
1482107400,6.0
1482111000,4.0
1482114600,7.0
1482118200,5.0
1482121800,3.0
1482125400,2.0
1482129000,5.0
1482132600,5.0
1482136200,5.0
1482139800,5.0
1482143400,6.0
1482147000,7.0
1482150600,13.0
1482154200,22.0
1482157800,22.0
1482161400,25.0
1482165000,19.0
1482168600,22.0
1482172200,21.0
1482175800,21.0
1482179400,17.0
1482183000,20.0
1482186600,24.0
1482190200,21.0
1482193800,23.0
1482197400,27.0
1482201000,27.0
1482204600,24.0
1482208200,25.0
1482211800,22.0
1482215400,26.0
1482219000,23.0
1482222600,27.0
1482226200,25.0
1482229800,28.0
1482233400,28.0
1482237000,34.0
1482240600,39.0
1482244200,47.0
1482247800,66.0
1482251400,24.0
1482255000,20.0
1482258600,22.0
1482262200,19.0
1482265800,19.0
1482269400,25.0
1482273000,26.0
1482276600,23.0
1482280200,20.0
1482283800,16.0
1482287400,16.0
1482291000,15.0
1482294600,13.0
1482298200,11.0
1482301800,13.0
1482305400,15.0
1482309000,15.0
1482312600,15.0
1482316200,17.0
1482319800,16.0
1482323400,18.0
1482327000,19.0
1482330600,19.0
1482334200,23.0
1482337800,24.0
1482341400,26.0
1482345000,28.0
1482348600,25.0
1482352200,25.0
1482355800,22.0
1482359400,25.0
1482363000,28.0
1482366600,24.0
1482370200,23.0
1482373800,30.0
1482377400,41.0
1482381000,26.0
1482384600,23.0
1482388200,15.0
1482391800,12.0
1482395400,10.0
1482399000,11.0
1482402600,9.0
1482406200,16.0
1482409800,18.0
1482413400,22.0
1482417000,20.0
1482420600,25.0
1482424200,27.0
1482427800,25.0
1482431400,27.0
1482435000,25.0
1482438600,21.0
1482442200,19.0
1482445800,21.0
1482449400,14.0
1482453000,16.0
1482456600,15.0
1482460200,15.0
1482463800,12.0
1482467400,14.0
1482471000,14.0
1482474600,14.0
1482478200,13.0
1482481800,15.0
1482485400,11.0
1482489000,14.0
1482492600,19.0
1482496200,23.0
1482499800,24.0
1482503400,27.0
1482507000,18.0
1482510600,24.0
1482514200,24.0
1482517800,27.0
1482521400,24.0
1482525000,34.0
1482528600,33.0
1482532200,27.0
1482535800,24.0
1482539400,32.0
1482543000,32.0
1482546600,35.0
1482550200,31.0
1482553800,33.0
1482557400,39.0
1482561000,28.0
1482564600,4.0
1482568200,9.0
1482571800,6.0
1482575400,6.0
1482579000,3.0
1482582600,0.0
1482586200,1.0
1482589800,1.0
1482593400,0.0
1482597000,0.0
1482600600,0.0
1482604200,0.0
1482607800,0.0
1482611400,5.0
1482615000,4.0
1482618600,6.0
1482622200,10.0
1482625800,14.0
1482629400,9.0
1482633000,17.0
1482636600,15.0
1482640200,14.0
1482643800,12.0
1482647400,14.0
1482651000,16.0
1482654600,13.0
1482658200,10.0
1482661800,6.0
1482665400,6.0
1482669000,8.0
1482672600,10.0
1482676200,7.0
1482679800,5.0
1482683400,12.0
1482687000,17.0
1482690600,18.0
1482694200,11.0
1482697800,7.0
1482701400,7.0
1482705000,7.0
1482708600,12.0
1482712200,12.0
1482715800,18.0
1482719400,18.0
1482723000,10.0
1482726600,14.0
1482730200,11.0
1482733800,11.0
1482737400,11.0
1482741000,10.0
1482744600,13.0
1482748200,14.0
1482751800,9.0
1482755400,6.0
1482759000,10.0
1482762600,15.0
1482766200,10.0
1482769800,28.0
1482773400,10.0
1482777000,7.0
1482780600,6.0
1482784200,6.0
1482787800,12.0
1482791400,11.0
1482795000,8.0
1482798600,4.0
1482802200,4.0
1482805800,5.0
1482809400,4.0
1482813000,7.0
1482816600,5.0
1482820200,2.0
1482823800,-1.0
1482827400,2.0
1482831000,7.0
1482834600,4.0
1482838200,1.0
1482841800,0.0
1482845400,6.0
1482849000,8.0
1482852600,8.0
1482856200,6.0
1482867000,7.0
1482870600,5.0
1482874200,3.0
1482877800,9.0
1482881400,5.0
